pos[0] = 22.824442	pos[1] = 106.974133	pos[2] = 25.525805
angle[0] = -0.354042	angle[1] = 1.791235	angle[2] = 0.962890

pos[0] = 27.808992	pos[1] = 187.310272	pos[2] = -58.017197
angle[0] = -0.353631	angle[1] = 1.791235	angle[2] = 0.962890

pos[0] = 27.778013	pos[1] = 187.310272	pos[2] = -58.005768
angle[0] = -0.353220	angle[1] = 1.791235	angle[2] = 0.962890

pos[0] = 27.747028	pos[1] = 187.310272	pos[2] = -57.994354
angle[0] = -0.352808	angle[1] = 1.791235	angle[2] = 0.962890

pos[0] = 27.716042	pos[1] = 187.310272	pos[2] = -57.982948
angle[0] = -0.352397	angle[1] = 1.791235	angle[2] = 0.962890

pos[0] = 27.685047	pos[1] = 187.310272	pos[2] = -57.971558
angle[0] = -0.351986	angle[1] = 1.791235	angle[2] = 0.962890

pos[0] = 27.654049	pos[1] = 187.310272	pos[2] = -57.960182
angle[0] = -0.351575	angle[1] = 1.791235	angle[2] = 0.962890

pos[0] = 27.623047	pos[1] = 187.310272	pos[2] = -57.948814
angle[0] = -0.351164	angle[1] = 1.791235	angle[2] = 0.962890

pos[0] = 27.599615	pos[1] = 187.277557	pos[2] = -57.916756
angle[0] = -0.350752	angle[1] = 1.790827	angle[2] = 0.962482

pos[0] = 27.568596	pos[1] = 187.277557	pos[2] = -57.905411
angle[0] = -0.350341	angle[1] = 1.790827	angle[2] = 0.962482

pos[0] = 27.537571	pos[1] = 187.277557	pos[2] = -57.894081
angle[0] = -0.349930	angle[1] = 1.790827	angle[2] = 0.962482

pos[0] = 27.506538	pos[1] = 187.277557	pos[2] = -57.882767
angle[0] = -0.349519	angle[1] = 1.790827	angle[2] = 0.962482

pos[0] = 27.475506	pos[1] = 187.277557	pos[2] = -57.871460
angle[0] = -0.349108	angle[1] = 1.790827	angle[2] = 0.962482

pos[0] = 27.444466	pos[1] = 187.277557	pos[2] = -57.860168
angle[0] = -0.348696	angle[1] = 1.790827	angle[2] = 0.962482

pos[0] = 27.382374	pos[1] = 187.277557	pos[2] = -57.837624
angle[0] = -0.347874	angle[1] = 1.790827	angle[2] = 0.962482

pos[0] = 27.382374	pos[1] = 187.277557	pos[2] = -57.837624
angle[0] = -0.347874	angle[1] = 1.790827	angle[2] = 0.962482

pos[0] = 27.320265	pos[1] = 187.277557	pos[2] = -57.815132
angle[0] = -0.347052	angle[1] = 1.790827	angle[2] = 0.962482

pos[0] = 27.289202	pos[1] = 187.277557	pos[2] = -57.803902
angle[0] = -0.346640	angle[1] = 1.790827	angle[2] = 0.962482

pos[0] = 27.258137	pos[1] = 187.277557	pos[2] = -57.792694
angle[0] = -0.346229	angle[1] = 1.790827	angle[2] = 0.962482

pos[0] = 27.227066	pos[1] = 187.277557	pos[2] = -57.781487
angle[0] = -0.345818	angle[1] = 1.790827	angle[2] = 0.962482

pos[0] = 27.185474	pos[1] = 187.232979	pos[2] = -57.799522
angle[0] = -0.345407	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 27.154406	pos[1] = 187.232979	pos[2] = -57.788353
angle[0] = -0.344996	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 27.123333	pos[1] = 187.232979	pos[2] = -57.777191
angle[0] = -0.344584	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 27.092255	pos[1] = 187.232979	pos[2] = -57.766045
angle[0] = -0.344173	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 27.061171	pos[1] = 187.232979	pos[2] = -57.754913
angle[0] = -0.343762	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 27.030085	pos[1] = 187.232979	pos[2] = -57.743790
angle[0] = -0.343351	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.998993	pos[1] = 187.232979	pos[2] = -57.732681
angle[0] = -0.342940	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.967897	pos[1] = 187.232979	pos[2] = -57.721588
angle[0] = -0.342528	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.936796	pos[1] = 187.232979	pos[2] = -57.710503
angle[0] = -0.342117	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.905689	pos[1] = 187.232979	pos[2] = -57.699432
angle[0] = -0.341706	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.874582	pos[1] = 187.232979	pos[2] = -57.688377
angle[0] = -0.341295	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.812349	pos[1] = 187.232979	pos[2] = -57.666298
angle[0] = -0.340472	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.781225	pos[1] = 187.232979	pos[2] = -57.655281
angle[0] = -0.340061	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.750097	pos[1] = 187.232979	pos[2] = -57.644279
angle[0] = -0.339650	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.750097	pos[1] = 187.232979	pos[2] = -57.644279
angle[0] = -0.339650	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.687826	pos[1] = 187.232979	pos[2] = -57.622299
angle[0] = -0.338828	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.656687	pos[1] = 187.232979	pos[2] = -57.611336
angle[0] = -0.338416	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.625540	pos[1] = 187.232979	pos[2] = -57.600380
angle[0] = -0.338005	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.594393	pos[1] = 187.232979	pos[2] = -57.589439
angle[0] = -0.337594	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.563236	pos[1] = 187.232979	pos[2] = -57.578506
angle[0] = -0.337183	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.532078	pos[1] = 187.232979	pos[2] = -57.567596
angle[0] = -0.336772	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.532078	pos[1] = 187.232979	pos[2] = -57.567596
angle[0] = -0.336772	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.500914	pos[1] = 187.232979	pos[2] = -57.556686
angle[0] = -0.336360	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.469744	pos[1] = 187.232979	pos[2] = -57.545799
angle[0] = -0.335949	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.438572	pos[1] = 187.232979	pos[2] = -57.534920
angle[0] = -0.335538	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.407394	pos[1] = 187.232979	pos[2] = -57.524055
angle[0] = -0.335127	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.376213	pos[1] = 187.232979	pos[2] = -57.513206
angle[0] = -0.334716	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.345026	pos[1] = 187.232979	pos[2] = -57.502365
angle[0] = -0.334304	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.313835	pos[1] = 187.232979	pos[2] = -57.491539
angle[0] = -0.333893	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.282640	pos[1] = 187.232979	pos[2] = -57.480721
angle[0] = -0.333482	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.251440	pos[1] = 187.232979	pos[2] = -57.469925
angle[0] = -0.333071	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.251440	pos[1] = 187.232979	pos[2] = -57.469925
angle[0] = -0.333071	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.220238	pos[1] = 187.232979	pos[2] = -57.459137
angle[0] = -0.332660	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.189028	pos[1] = 187.232979	pos[2] = -57.448357
angle[0] = -0.332248	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.157816	pos[1] = 187.232979	pos[2] = -57.437599
angle[0] = -0.331837	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.126598	pos[1] = 187.232979	pos[2] = -57.426849
angle[0] = -0.331426	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.095375	pos[1] = 187.232979	pos[2] = -57.416107
angle[0] = -0.331015	angle[1] = 1.790827	angle[2] = 0.962075

pos[0] = 26.081390	pos[1] = 187.244843	pos[2] = -57.355156
angle[0] = -0.330604	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 26.081390	pos[1] = 187.244843	pos[2] = -57.355156
angle[0] = -0.330604	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 26.050137	pos[1] = 187.244843	pos[2] = -57.344437
angle[0] = -0.330192	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 26.018883	pos[1] = 187.244843	pos[2] = -57.333733
angle[0] = -0.329781	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 25.987621	pos[1] = 187.244843	pos[2] = -57.323036
angle[0] = -0.329370	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 25.987621	pos[1] = 187.244843	pos[2] = -57.323036
angle[0] = -0.329370	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 25.956356	pos[1] = 187.244843	pos[2] = -57.312355
angle[0] = -0.328959	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 25.925091	pos[1] = 187.244843	pos[2] = -57.301689
angle[0] = -0.328548	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 25.893818	pos[1] = 187.244843	pos[2] = -57.291039
angle[0] = -0.328136	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 25.893818	pos[1] = 187.244843	pos[2] = -57.291039
angle[0] = -0.328136	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 25.862541	pos[1] = 187.244843	pos[2] = -57.280396
angle[0] = -0.327725	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 25.831257	pos[1] = 187.244843	pos[2] = -57.269768
angle[0] = -0.327314	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 25.799973	pos[1] = 187.244843	pos[2] = -57.259155
angle[0] = -0.326903	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 25.799973	pos[1] = 187.244843	pos[2] = -57.259155
angle[0] = -0.326903	angle[1] = 1.790419	angle[2] = 0.962075

pos[0] = 25.785709	pos[1] = 187.256683	pos[2] = -57.198265
angle[0] = -0.326492	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.754393	pos[1] = 187.256683	pos[2] = -57.187668
angle[0] = -0.326080	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.754393	pos[1] = 187.256683	pos[2] = -57.187668
angle[0] = -0.326080	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.723074	pos[1] = 187.256683	pos[2] = -57.177078
angle[0] = -0.325669	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.691748	pos[1] = 187.256683	pos[2] = -57.166512
angle[0] = -0.325258	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.691748	pos[1] = 187.256683	pos[2] = -57.166512
angle[0] = -0.325258	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.660421	pos[1] = 187.256683	pos[2] = -57.155952
angle[0] = -0.324847	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.629087	pos[1] = 187.256683	pos[2] = -57.145409
angle[0] = -0.324436	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.629087	pos[1] = 187.256683	pos[2] = -57.145409
angle[0] = -0.324436	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.597750	pos[1] = 187.256683	pos[2] = -57.134872
angle[0] = -0.324024	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.597750	pos[1] = 187.256683	pos[2] = -57.134872
angle[0] = -0.324024	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.566408	pos[1] = 187.256683	pos[2] = -57.124359
angle[0] = -0.323613	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.535061	pos[1] = 187.256683	pos[2] = -57.113846
angle[0] = -0.323202	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.535061	pos[1] = 187.256683	pos[2] = -57.113846
angle[0] = -0.323202	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.503712	pos[1] = 187.256683	pos[2] = -57.103355
angle[0] = -0.322791	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.503712	pos[1] = 187.256683	pos[2] = -57.103355
angle[0] = -0.322791	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.472355	pos[1] = 187.256683	pos[2] = -57.092873
angle[0] = -0.322380	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.440998	pos[1] = 187.256683	pos[2] = -57.082405
angle[0] = -0.321968	angle[1] = 1.790011	angle[2] = 0.962075

pos[0] = 25.457804	pos[1] = 187.268501	pos[2] = -57.032028
angle[0] = -0.321968	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.426418	pos[1] = 187.268501	pos[2] = -57.021568
angle[0] = -0.321557	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.426418	pos[1] = 187.268501	pos[2] = -57.021568
angle[0] = -0.321557	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.395029	pos[1] = 187.268501	pos[2] = -57.011116
angle[0] = -0.321146	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.363638	pos[1] = 187.268501	pos[2] = -57.000679
angle[0] = -0.320735	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.363638	pos[1] = 187.268501	pos[2] = -57.000679
angle[0] = -0.320735	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.332239	pos[1] = 187.268501	pos[2] = -56.990257
angle[0] = -0.320324	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.332239	pos[1] = 187.268501	pos[2] = -56.990257
angle[0] = -0.320324	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.300842	pos[1] = 187.268501	pos[2] = -56.979851
angle[0] = -0.319912	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.300842	pos[1] = 187.268501	pos[2] = -56.979851
angle[0] = -0.319912	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.269436	pos[1] = 187.268501	pos[2] = -56.969452
angle[0] = -0.319501	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.269436	pos[1] = 187.268501	pos[2] = -56.969452
angle[0] = -0.319501	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.238028	pos[1] = 187.268501	pos[2] = -56.959068
angle[0] = -0.319090	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.238028	pos[1] = 187.268501	pos[2] = -56.959068
angle[0] = -0.319090	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.206612	pos[1] = 187.268501	pos[2] = -56.948692
angle[0] = -0.318679	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.206612	pos[1] = 187.268501	pos[2] = -56.948692
angle[0] = -0.318679	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.175192	pos[1] = 187.268501	pos[2] = -56.938339
angle[0] = -0.318268	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.175192	pos[1] = 187.268501	pos[2] = -56.938339
angle[0] = -0.318268	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.143770	pos[1] = 187.268501	pos[2] = -56.927994
angle[0] = -0.317856	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.143770	pos[1] = 187.268501	pos[2] = -56.927994
angle[0] = -0.317856	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.112343	pos[1] = 187.268501	pos[2] = -56.917656
angle[0] = -0.317445	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.112343	pos[1] = 187.268501	pos[2] = -56.917656
angle[0] = -0.317445	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.112343	pos[1] = 187.268501	pos[2] = -56.917656
angle[0] = -0.317445	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.080914	pos[1] = 187.268501	pos[2] = -56.907341
angle[0] = -0.317034	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.080914	pos[1] = 187.268501	pos[2] = -56.907341
angle[0] = -0.317034	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.049477	pos[1] = 187.268501	pos[2] = -56.897034
angle[0] = -0.316623	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.049477	pos[1] = 187.268501	pos[2] = -56.897034
angle[0] = -0.316623	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.049477	pos[1] = 187.268501	pos[2] = -56.897034
angle[0] = -0.316623	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.018040	pos[1] = 187.268501	pos[2] = -56.886742
angle[0] = -0.316212	angle[1] = 1.789603	angle[2] = 0.962075

pos[0] = 25.034559	pos[1] = 187.280312	pos[2] = -56.836250
angle[0] = -0.316212	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 25.003094	pos[1] = 187.280312	pos[2] = -56.825958
angle[0] = -0.315800	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 25.003094	pos[1] = 187.280312	pos[2] = -56.825958
angle[0] = -0.315800	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 25.003094	pos[1] = 187.280312	pos[2] = -56.825958
angle[0] = -0.315800	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.971624	pos[1] = 187.280312	pos[2] = -56.815689
angle[0] = -0.315389	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.971624	pos[1] = 187.280312	pos[2] = -56.815689
angle[0] = -0.315389	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.971624	pos[1] = 187.280312	pos[2] = -56.815689
angle[0] = -0.315389	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.971624	pos[1] = 187.280312	pos[2] = -56.815689
angle[0] = -0.315389	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.940151	pos[1] = 187.280312	pos[2] = -56.805428
angle[0] = -0.314978	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.940151	pos[1] = 187.280312	pos[2] = -56.805428
angle[0] = -0.314978	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.940151	pos[1] = 187.280312	pos[2] = -56.805428
angle[0] = -0.314978	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.940151	pos[1] = 187.280312	pos[2] = -56.805428
angle[0] = -0.314978	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.908674	pos[1] = 187.280312	pos[2] = -56.795174
angle[0] = -0.314567	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.908674	pos[1] = 187.280312	pos[2] = -56.795174
angle[0] = -0.314567	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.908674	pos[1] = 187.280312	pos[2] = -56.795174
angle[0] = -0.314567	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.908674	pos[1] = 187.280312	pos[2] = -56.795174
angle[0] = -0.314567	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.908674	pos[1] = 187.280312	pos[2] = -56.795174
angle[0] = -0.314567	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.877193	pos[1] = 187.280312	pos[2] = -56.784943
angle[0] = -0.314156	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.877193	pos[1] = 187.280312	pos[2] = -56.784943
angle[0] = -0.314156	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.877193	pos[1] = 187.280312	pos[2] = -56.784943
angle[0] = -0.314156	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.877193	pos[1] = 187.280312	pos[2] = -56.784943
angle[0] = -0.314156	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.877193	pos[1] = 187.280312	pos[2] = -56.784943
angle[0] = -0.314156	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.877193	pos[1] = 187.280312	pos[2] = -56.784943
angle[0] = -0.314156	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.877193	pos[1] = 187.280312	pos[2] = -56.784943
angle[0] = -0.314156	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.877193	pos[1] = 187.280312	pos[2] = -56.784943
angle[0] = -0.314156	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.845707	pos[1] = 187.280312	pos[2] = -56.774719
angle[0] = -0.313744	angle[1] = 1.789195	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.862103	pos[1] = 187.292091	pos[2] = -56.724190
angle[0] = -0.313744	angle[1] = 1.788787	angle[2] = 0.962075

pos[0] = 24.878500	pos[1] = 187.303841	pos[2] = -56.673653
angle[0] = -0.313744	angle[1] = 1.788379	angle[2] = 0.962075

pos[0] = 24.878500	pos[1] = 187.303841	pos[2] = -56.673653
angle[0] = -0.313744	angle[1] = 1.788379	angle[2] = 0.962075

pos[0] = 24.878500	pos[1] = 187.303841	pos[2] = -56.673653
angle[0] = -0.313744	angle[1] = 1.788379	angle[2] = 0.962075

pos[0] = 24.878500	pos[1] = 187.303841	pos[2] = -56.673653
angle[0] = -0.313744	angle[1] = 1.788379	angle[2] = 0.962075

pos[0] = 24.878500	pos[1] = 187.303841	pos[2] = -56.673653
angle[0] = -0.313744	angle[1] = 1.788379	angle[2] = 0.962075

pos[0] = 24.878500	pos[1] = 187.303841	pos[2] = -56.673653
angle[0] = -0.313744	angle[1] = 1.788379	angle[2] = 0.962075

pos[0] = 24.878500	pos[1] = 187.303841	pos[2] = -56.673653
angle[0] = -0.313744	angle[1] = 1.788379	angle[2] = 0.962075

pos[0] = 24.878500	pos[1] = 187.303841	pos[2] = -56.673653
angle[0] = -0.313744	angle[1] = 1.788379	angle[2] = 0.962075

pos[0] = 24.878500	pos[1] = 187.303841	pos[2] = -56.673653
angle[0] = -0.313744	angle[1] = 1.788379	angle[2] = 0.962075

pos[0] = 24.894892	pos[1] = 187.315575	pos[2] = -56.623123
angle[0] = -0.313744	angle[1] = 1.787971	angle[2] = 0.962075

pos[0] = 24.894892	pos[1] = 187.315575	pos[2] = -56.623123
angle[0] = -0.313744	angle[1] = 1.787971	angle[2] = 0.962075

pos[0] = 24.894892	pos[1] = 187.315575	pos[2] = -56.623123
angle[0] = -0.313744	angle[1] = 1.787971	angle[2] = 0.962075

pos[0] = 24.894892	pos[1] = 187.315575	pos[2] = -56.623123
angle[0] = -0.313744	angle[1] = 1.787971	angle[2] = 0.962075

pos[0] = 24.894892	pos[1] = 187.315575	pos[2] = -56.623123
angle[0] = -0.313744	angle[1] = 1.787971	angle[2] = 0.962075

pos[0] = 24.894892	pos[1] = 187.315575	pos[2] = -56.623123
angle[0] = -0.313744	angle[1] = 1.787971	angle[2] = 0.962075

pos[0] = 24.911291	pos[1] = 187.327293	pos[2] = -56.572578
angle[0] = -0.313744	angle[1] = 1.787563	angle[2] = 0.962075

pos[0] = 24.911291	pos[1] = 187.327293	pos[2] = -56.572578
angle[0] = -0.313744	angle[1] = 1.787563	angle[2] = 0.962075

pos[0] = 24.911291	pos[1] = 187.327293	pos[2] = -56.572578
angle[0] = -0.313744	angle[1] = 1.787563	angle[2] = 0.962075

pos[0] = 24.911291	pos[1] = 187.327293	pos[2] = -56.572578
angle[0] = -0.313744	angle[1] = 1.787563	angle[2] = 0.962075

pos[0] = 24.911291	pos[1] = 187.327293	pos[2] = -56.572578
angle[0] = -0.313744	angle[1] = 1.787563	angle[2] = 0.962075

pos[0] = 24.927692	pos[1] = 187.338982	pos[2] = -56.522034
